"diff"	"lwr"	"upr"	"p.adj"
"Sucla2-Dld"	2.14012826122424	0.423805174910617	3.85645134753787	0.00406918449402571
"Suclg2-Dld"	2.27805260873472	0.64297850110828	3.91312671636116	0.000753834305619372
"Suclg1-Dld"	3.12312113583933	1.14858156070981	5.09766071096885	7.40122100540974e-05
"Idh3g-Sdha"	0.813856434107993	-2.77307283218425	4.40078570040023	0.999745419236946
"Aco2-Sdha"	1.01079489354433	-0.632459354960352	2.65404914204902	0.633083939301651
"Cs-Sdha"	1.14493762563132	-0.459185908351259	2.7490611596139	0.407061006301837
"Sucla2-Sdha"	2.09270388164018	0.266328895502783	3.91907886777759	0.0120606842429078
"Suclg2-Sdha"	2.23062822915066	0.480385962832749	3.98087049546858	0.00299066163542649
"Suclg1-Sdha"	3.07569675625527	1.0047821787973	5.14661133371325	0.000247285850122125
"Aco2-Idh3g"	0.196938459436341	-3.36778050496939	3.76165742384207	0.999999999910669
"Cs-Idh3g"	0.331081191523328	-3.2157693948761	3.87793177792275	0.999999973605411
"Sucla2-Idh3g"	1.27884744753219	-2.37390252474261	4.93159741980699	0.988072542168664
"Suclg2-Idh3g"	1.41677179504267	-2.19851308457205	5.03205667465739	0.97179568782749
"Suclg1-Idh3g"	2.26184032214728	-1.51911510698609	6.04279575128065	0.671683442785216
"Cs-Aco2"	0.134142732086987	-1.41968224070977	1.68796770488374	0.999999988619531
"Sucla2-Aco2"	1.08190898809585	-0.700450494107016	2.86426847029872	0.65171457553693
"Suclg2-Aco2"	1.21983333560633	-0.484428300591512	2.92409497180417	0.402742914158748
"Suclg1-Aco2"	2.06490186271094	0.0326993824108084	4.09710434301107	0.0431547545764736
"Sucla2-Cs"	0.947766256008863	-0.79858225183444	2.69411476385217	0.788728436869566
"Suclg2-Cs"	1.08569060351934	-0.580873380149993	2.75225458718868	0.548339885798656
"Suclg1-Cs"	1.93075913062395	-0.0699344261173263	3.93145268736523	0.0682124379967781
"Suclg2-Sucla2"	0.137924347510479	-1.74352955555902	2.01937825057997	0.999999998059468
"Suclg1-Sucla2"	0.98299287461509	-1.19994276018904	3.16592850941922	0.926832775380397
"Suclg1-Suclg2"	0.845068527104611	-1.27458011984492	2.96471717405414	0.968046923259284
